Portfolio Manager - Firm,Portfolio value,No. of stocks,Top 10 holdings (left to right),,,,,,,,,
AKO Capital,$7.06 B,27,ALC,MSFT,GE,EL,ICE,V,INTU,FICO,BKNG,RACE
Alex Roepers - Atlantic Investment Management,$228 M,11,EMN,WCC,WFRD,TEX,FLS,PTEN,GT,TKR,ASH,CPRI
AltaRock Partners,$4.65 B,8,TDG,AMZN,MSFT,GOOGL,V,MCO,CHTR,MA,,
Bill & Melinda Gates Foundation Trust,$45.9 B,24,MSFT,WM,BRK.B,CNI,CAT,DE,ECL,KOF,WMT,FDX
Bill Ackman - Pershing Square Capital Management,$10.8 B,7,CMG,HLT,QSR,GOOG,HHH,CP,GOOGL,,,
Bill Miller - Miller Value Partners,$145 M,29,STLA,T,JXN,BFH,WAL,OMF,QUAD,CTO,VTRS,LNC
Bill Nygren - Oakmark Select Fund,$6.16 B,22,IQV,CBRE,GOOGL,COF,LAD,FCNCA,PAYC,SCHW,ICE,CHTR
Bruce Berkowitz - Fairholme Capital,$1.51 B,7,JOE,EPD,BRK.B,OZK,WRB,BRK.A,AAPL,,,
Bryan Lawrence - Oakcliff Capital,$167 M,10,IBKR,TDG,GIL,GOOG,GWRE,FNF,LGIH,CHTR,SGU,HNRG
Carl Icahn - Icahn Capital Management,$11.9 B,14,IEP,CVI,SWX,OXY.WS,BHC,IFF,UAN,DAN,JBLU,CNDT
Charles Bobrinskoy - Ariel Focus Fund,$71 M,27,GS,SNA,MHK,ORCL,BOKF,BAC,REZI,APA,LMT,PHIN
Charlie Munger - Daily Journal Corp.,$177 M,4,WFC,BAC,BABA,USB,,,,,,
Chase Coleman - Tiger Global Management,$18.3 B,41,META,MSFT,GOOGL,APO,AMZN,NVDA,TTWO,SE,LLY,WDAY
Chris Hohn - TCI Fund Management,$39.7 B,10,GE,CNI,CP,MCO,V,MSFT,SPGI,GOOG,TMO,GOOGL
Christopher Bloomstran - Semper Augustus,$547 M,36,BRK.B,BRK.A,MCY,DG,OLN,KGC,NEM,PARA,DINO,DIS
Christopher Davis - Davis Advisors,$17.8 B,98,META,COF,WFC,BRK.A,AMZN,AMAT,HUM,VTRS,JPM,USB
Chuck Akre - Akre Capital Management,$12.1 B,21,MA,MCO,KKR,AMT,ORLY,V,ROP,BN,CSGP,DHR
Clifford Sosin - CAS Investment Partners,$1.12 B,5,CVNA,HGV,COF,CDLX,WRLD,,,,,
Daniel Loeb - Third Point,$7.78 B,38,PCG,AMZN,MSFT,BBWI,META,DHR,GOOGL,VST,AIG,J
David Abrams - Abrams Capital Management,$3.2 B,13,LAD,ABG,GOOGL,META,ET,UHAL.B,CPNG,TPX,WTW,CWH
David Einhorn - Greenlight Capital,$2.19 B,42,GRBK,BHF,KD,CEIX,ALIT,THC,ODP,PENN,LIVN,TECK
David Katz - Matrix Asset Advisors,$837 M,101,MSFT,JPM,BK,GOOG,MS,AAPL,QCOM,CMCSA,PNC,CSCO
David Rolfe - Wedgewood Partners,$500 M,19,GOOGL,META,TSM,V,AAPL,PYPL,UNH,MSFT,MSI,CPRT
David Tepper - Appaloosa Management,$6.69 B,38,BABA,AMZN,MSFT,META,NVDA,GOOG,AMD,ORCL,PDD,BIDU
